start, stop, speaker
304.5, 311.9, SPEAKER_01
311.9, 318.9, SPEAKER_00
319.1, 320.4, SPEAKER_00
320.6, 331.0, SPEAKER_00
332.2, 337.7, SPEAKER_00
338.0, 338.0, SPEAKER_00
338.0, 338.9, SPEAKER_01
338.9, 341.7, SPEAKER_00
338.9, 339.3, SPEAKER_01
342.1, 348.3, SPEAKER_00
348.7, 353.2, SPEAKER_00
353.6, 354.9, SPEAKER_00
354.5, 362.7, SPEAKER_01
357.7, 358.8, SPEAKER_00
362.7, 364.1, SPEAKER_00
364.1, 368.6, SPEAKER_01
368.9, 369.9, SPEAKER_01
370.5, 371.7, SPEAKER_01
372.3, 375.9, SPEAKER_01
376.2, 377.1, SPEAKER_01
377.6, 382.2, SPEAKER_01
382.5, 388.1, SPEAKER_01
388.7, 390.4, SPEAKER_00
390.5, 390.9, SPEAKER_01
391.0, 393.1, SPEAKER_00
392.1, 392.6, SPEAKER_01
393.3, 398.3, SPEAKER_01
398.8, 401.4, SPEAKER_01
401.6, 403.5, SPEAKER_01
403.5, 404.8, SPEAKER_00
405.3, 422.3, SPEAKER_00
413.0, 413.5, SPEAKER_01
422.4, 426.9, SPEAKER_00
423.8, 424.4, SPEAKER_01
427.1, 429.5, SPEAKER_00
429.8, 436.9, SPEAKER_01
436.4, 440.3, SPEAKER_00
440.4, 466.0, SPEAKER_00
466.0, 466.5, SPEAKER_01
466.3, 467.9, SPEAKER_00
468.4, 468.6, SPEAKER_01
469.2, 474.9, SPEAKER_00
475.8, 479.8, SPEAKER_00
480.2, 482.0, SPEAKER_00
482.2, 485.4, SPEAKER_01
485.8, 521.5, SPEAKER_00
521.8, 526.9, SPEAKER_01
527.1, 546.0, SPEAKER_00
540.8, 541.0, SPEAKER_01
546.5, 551.9, SPEAKER_00
552.4, 553.6, SPEAKER_00
553.7, 555.3, SPEAKER_00
555.8, 559.0, SPEAKER_00
559.9, 560.5, SPEAKER_00
560.9, 576.5, SPEAKER_00
577.0, 582.5, SPEAKER_00
582.6, 584.2, SPEAKER_00
584.7, 585.9, SPEAKER_00
586.3, 588.7, SPEAKER_00
588.8, 606.8, SPEAKER_00
606.7, 611.4, SPEAKER_01
610.2, 612.3, SPEAKER_00
612.3, 616.6, SPEAKER_01
616.8, 621.4, SPEAKER_01
619.0, 628.7, SPEAKER_00
628.6, 629.9, SPEAKER_01
629.9, 646.8, SPEAKER_00
631.7, 631.7, SPEAKER_01
631.8, 632.5, SPEAKER_01
647.4, 649.6, SPEAKER_00
650.2, 657.3, SPEAKER_00
657.8, 660.7, SPEAKER_00
660.7, 660.8, SPEAKER_01
660.8, 662.0, SPEAKER_00
662.0, 665.9, SPEAKER_01
666.1, 668.2, SPEAKER_01
668.2, 671.3, SPEAKER_00
671.9, 683.5, SPEAKER_00
